LastName,PersonalMWDT,PPG,REB,AST,STL,LagPair,MWDT_squared,Prior_PPG,PPG_S2
Kuzma,8932,22.2,6.6,4.2,0.5,2022-23 → 2023-24,79780624,,22.2
Avdija,8052,14.7,7.2,3.8,0.8,2022-23 → 2023-24,64834704,,14.7
Beal,6676,18.2,4.4,5.0,1.0,2022-23 → 2023-24,44568976,,18.2
Kispert,8300,13.4,2.8,2.0,0.5,2022-23 → 2023-24,68890000,,13.4
Gill,2444,3.8,1.9,0.7,0.3,2022-23 → 2023-24,5973136,,3.8
Hachimura,5780,13.6,4.3,1.2,0.6,2022-23 → 2023-24,33408400,,13.6
Huff,384,1.2,0.6,0.1,0.1,2022-23 → 2023-24,147456,,1.2
Markkanen,9024,23.2,8.2,2.0,0.9,2022-23 → 2023-24,81432576,,23.2
Vanderbilt,7452,5.2,4.8,1.2,1.2,2022-23 → 2023-24,55532304,,5.2
Conley,8048,11.4,2.9,5.9,1.2,2022-23 → 2023-24,64770304,,11.4
Clarkson,7884,17.1,3.4,5.0,0.6,2022-23 → 2023-24,62157456,,17.1
Horton-Tucker,5172,10.1,2.4,3.5,0.9,2022-23 → 2023-24,26749584,,10.1
Kessler,6768,8.1,7.5,0.9,0.5,2022-23 → 2023-24,45805824,,8.1
Sexton,4540,18.7,2.6,4.9,0.8,2022-23 → 2023-24,20611600,,18.7
Beasley,8284,11.3,3.7,1.4,0.7,2022-23 → 2023-24,68624656,,11.3
Alexander-Walker,3472,8.0,2.0,2.5,0.8,2022-23 → 2023-24,12054784,,8.0
Azubuike,1412,2.2,2.0,0.2,0.1,2022-23 → 2023-24,1993744,,2.2
Dunn,2228,5.4,2.9,3.8,1.0,2022-23 → 2023-24,4963984,,5.4
Toscano-Anderson,2664,0.6,1.3,0.4,0.1,2022-23 → 2023-24,7096896,,0.6
Juzang,904,7.2,1.8,1.2,0.2,2022-23 → 2023-24,817216,,7.2
Potter,204,3.3,2.7,0.4,0.3,2022-23 → 2023-24,41616,,3.3
VanVleet,10136,17.4,3.8,8.1,1.4,2022-23 → 2023-24,102738496,,17.4
Poeltl,7212,11.1,8.6,2.5,0.7,2022-23 → 2023-24,52012944,,11.1
Boucher,6100,6.4,4.1,0.5,0.3,2022-23 → 2023-24,37210000,,6.4
Vassell,4148,19.5,3.8,4.1,1.1,2022-23 → 2023-24,17205904,,19.5
Sochan,5148,11.6,6.4,3.4,0.8,2022-23 → 2023-24,26501904,,11.6
Richardson,5564,9.9,2.8,2.4,0.6,2022-23 → 2023-24,30958096,,9.9
Branham,5292,9.2,2.0,2.1,0.4,2022-23 → 2023-24,28005264,,9.2
Mamukelashvili,2112,4.1,3.2,1.1,0.2,2022-23 → 2023-24,4460544,,4.1
Graham,4920,5.0,1.6,2.1,0.4,2022-23 → 2023-24,24206400,,5.0
Wesley,2172,4.4,1.5,2.7,0.5,2022-23 → 2023-24,4717584,,4.4
Barlow,1292,4.4,3.4,1.1,0.4,2022-23 → 2023-24,1669264,,4.4
Bassey,1600,3.3,4.0,1.1,0.4,2022-23 → 2023-24,2560000,,3.3
