Player1,Player2,SharedMinutes,Team,Season
Kuzma,Morris,1090,WAS,2022-23
Avdija,Kuzma,1023,WAS,2022-23
Beal,Kuzma,1011,WAS,2022-23
Kuzma,Porzingis,1268,WAS,2022-23
Avdija,Morris,889,WAS,2022-23
Beal,Morris,890,WAS,2022-23
Morris,Porzingis,1198,WAS,2022-23
Avdija,Beal,809,WAS,2022-23
Avdija,Porzingis,1194,WAS,2022-23
Beal,Porzingis,1204,WAS,2022-23
Kispert,Kuzma,1035,WAS,2022-23
Kispert,Morris,907,WAS,2022-23
Avdija,Kispert,1029,WAS,2022-23
Kispert,Porzingis,1124,WAS,2022-23
Gafford,Kuzma,920,WAS,2022-23
Gafford,Morris,628,WAS,2022-23
Beal,Gafford,602,WAS,2022-23
Gafford,Porzingis,490,WAS,2022-23
Gafford,Kispert,829,WAS,2022-23
Goodwin,Kuzma,497,WAS,2022-23
Avdija,Goodwin,476,WAS,2022-23
Goodwin,Kispert,563,WAS,2022-23
Goodwin,Porzingis,406,WAS,2022-23
Beal,Kispert,665,WAS,2022-23
Gill,Kuzma,164,WAS,2022-23
Gill,Morris,142,WAS,2022-23
Beal,Gill,161,WAS,2022-23
Gill,Porzingis,192,WAS,2022-23
Kuzma,Wright,636,WAS,2022-23
Gafford,Wright,606,WAS,2022-23
Beal,Wright,485,WAS,2022-23
Porzingis,Wright,539,WAS,2022-23
Avdija,Wright,674,WAS,2022-23
Kispert,Wright,598,WAS,2022-23
Hachimura,Wright,273,WAS,2022-23
Hachimura,Kuzma,421,WAS,2022-23
Gafford,Hachimura,295,WAS,2022-23
Avdija,Hachimura,288,WAS,2022-23
Avdija,Gafford,593,WAS,2022-23
Hachimura,Morris,275,WAS,2022-23
Hachimura,Kispert,225,WAS,2022-23
Hachimura,Porzingis,304,WAS,2022-23
Barton,Kuzma,438,WAS,2022-23
Gafford,Goodwin,439,WAS,2022-23
Barton,Gafford,372,WAS,2022-23
Barton,Kispert,233,WAS,2022-23
Barton,Goodwin,327,WAS,2022-23
Davis,Wright,147,WAS,2022-23
Davis,Gafford,152,WAS,2022-23
Avdija,Davis,129,WAS,2022-23
Davis,Kispert,214,WAS,2022-23
Barton,Morris,242,WAS,2022-23
Gafford,Gill,217,WAS,2022-23
Gill,Kispert,257,WAS,2022-23
Gill,Goodwin,242,WAS,2022-23
Davis,Gill,157,WAS,2022-23
Davis,Goodwin,191,WAS,2022-23
Goodwin,Hachimura,145,WAS,2022-23
Barton,Hachimura,264,WAS,2022-23
Gill,Wright,173,WAS,2022-23
Barton,Wright,122,WAS,2022-23
Gill,Hachimura,77,WAS,2022-23
Barton,Gill,180,WAS,2022-23
Gibson,Kuzma,252,WAS,2022-23
Gibson,Morris,172,WAS,2022-23
Avdija,Gibson,257,WAS,2022-23
Gibson,Kispert,257,WAS,2022-23
Morris,Wright,115,WAS,2022-23
Nunn,Wright,190,WAS,2022-23
Gibson,Wright,146,WAS,2022-23
Kuzma,Nunn,136,WAS,2022-23
Avdija,Nunn,187,WAS,2022-23
Gibson,Nunn,110,WAS,2022-23
Beal,Hachimura,204,WAS,2022-23
Barton,Beal,210,WAS,2022-23
Barton,Porzingis,274,WAS,2022-23
Beal,Gibson,149,WAS,2022-23
Avdija,Barton,268,WAS,2022-23
Gibson,Hachimura,81,WAS,2022-23
Gafford,Nunn,142,WAS,2022-23
Kispert,Nunn,182,WAS,2022-23
Beal,Goodwin,190,WAS,2022-23
Goodwin,Morris,116,WAS,2022-23
Beal,Nunn,60,WAS,2022-23
Nunn,Porzingis,95,WAS,2022-23
Goodwin,Nunn,163,WAS,2022-23
Davis,Porzingis,78,WAS,2022-23
Huff,Nunn,64,WAS,2022-23
Davis,Nunn,94,WAS,2022-23
Cooks,Nunn,65,WAS,2022-23
Goodwin,Huff,50,WAS,2022-23
Davis,Huff,67,WAS,2022-23
Cooks,Huff,74,WAS,2022-23
Cooks,Goodwin,78,WAS,2022-23
Cooks,Davis,93,WAS,2022-23
Avdija,Gill,185,WAS,2022-23
Goodwin,Wright,139,WAS,2022-23
Kispert,Todd,12,WAS,2022-23
Goodwin,Todd,39,WAS,2022-23
Davis,Todd,52,WAS,2022-23
Cooks,Todd,39,WAS,2022-23
Cooks,Kispert,49,WAS,2022-23
Huff,Kispert,40,WAS,2022-23
Jackson,Kispert,49,WAS,2022-23
Huff,Jackson,62,WAS,2022-23
Davis,Jackson,82,WAS,2022-23
Cooks,Jackson,77,WAS,2022-23
Gibson,Goodwin,169,WAS,2022-23
Barton,Gibson,95,WAS,2022-23
Jackson,Todd,34,WAS,2022-23
Goodwin,Jackson,56,WAS,2022-23
Jackson,Nunn,69,WAS,2022-23
Gibson,Porzingis,61,WAS,2022-23
Morris,Nunn,34,WAS,2022-23
Avdija,Jackson,19,WAS,2022-23
Gibson,Jackson,13,WAS,2022-23
Nunn,Todd,19,WAS,2022-23
Gill,Nunn,94,WAS,2022-23
Gill,Todd,22,WAS,2022-23
Gill,Jackson,34,WAS,2022-23
Avdija,Dotson,11,WAS,2022-23
Dotson,Gill,31,WAS,2022-23
