Player,Team,Season,PPG,REB,AST,STL
AJ Griffin,ATL,2022-23,8.9,2.1,1.0,0.6
AJ Griffin,ATL,2023-24,2.4,0.9,0.3,0.1
Aaron Holiday,ATL,2022-23,3.9,1.2,1.4,0.6
Bogdan Bogdanović,ATL,2022-23,14.0,3.1,2.8,0.8
Bogdan Bogdanović,ATL,2023-24,16.9,3.4,3.1,1.2
Bogdan Bogdanović,ATL,2024-25,10.0,2.8,2.0,0.8
Bruno Fernando,ATL,2022-23,3.4,1.9,0.1,0.0
Bruno Fernando,ATL,2023-24,6.3,4.3,1.0,0.6
Caris LeVert,ATL,2024-25,14.9,3.7,2.9,0.9
Clint Capela,ATL,2022-23,12.0,11.0,0.9,0.7
Clint Capela,ATL,2023-24,11.5,10.6,1.2,0.6
Clint Capela,ATL,2024-25,8.9,8.5,1.1,0.6
Daeqwon Plowden,ATL,2024-25,7.2,1.8,0.3,0.0
David Roddy,ATL,2024-25,4.5,2.6,1.1,0.4
De'Andre Hunter,ATL,2022-23,15.4,4.2,1.4,0.5
De'Andre Hunter,ATL,2023-24,15.6,3.9,1.5,0.7
De'Andre Hunter,ATL,2024-25,19.0,3.9,1.5,0.8
Dejounte Murray,ATL,2022-23,20.5,5.3,6.1,1.5
Dejounte Murray,ATL,2023-24,22.5,5.3,6.4,1.4
Dominick Barlow,ATL,2024-25,4.2,2.4,0.5,0.3
Donovan Williams,ATL,2022-23,2.0,1.0,0.0,0.0
Dylan Windler,ATL,2023-24,4.7,2.0,0.5,0.3
Dyson Daniels,ATL,2024-25,14.1,5.9,4.4,3.0
Frank Kaminsky,ATL,2022-23,2.7,1.4,0.8,0.2
Garrison Mathews,ATL,2022-23,4.8,1.2,0.3,0.1
Garrison Mathews,ATL,2023-24,4.9,1.4,0.6,0.3
Garrison Mathews,ATL,2024-25,7.5,1.9,1.3,0.6
Georges Niang,ATL,2024-25,12.1,3.0,1.6,0.4
Jacob Toppin,ATL,2024-25,17.0,4.0,2.0,0.0
Jalen Johnson,ATL,2022-23,5.6,4.0,1.2,0.5
Jalen Johnson,ATL,2023-24,16.0,8.7,3.6,1.2
Jalen Johnson,ATL,2024-25,18.9,10.0,5.0,1.6
Jarrett Culver,ATL,2022-23,4.4,3.8,0.6,0.6
John Collins,ATL,2022-23,13.1,6.5,1.2,0.6
Justin Holiday,ATL,2022-23,4.5,0.8,0.9,0.2
Keaton Wallace,ATL,2024-25,5.4,1.6,2.6,0.9
Kobe Bufkin,ATL,2023-24,4.8,1.9,1.6,0.4
Kobe Bufkin,ATL,2024-25,5.3,2.1,1.7,0.3
Larry Nance Jr.,ATL,2024-25,8.5,4.3,1.6,0.8
Mouhamed Gueye,ATL,2023-24,4.0,3.7,0.7,0.8
Mouhamed Gueye,ATL,2024-25,6.0,4.2,0.8,0.8
Onyeka Okongwu,ATL,2022-23,9.9,7.2,1.0,0.7
Onyeka Okongwu,ATL,2023-24,10.2,6.8,1.3,0.5
Onyeka Okongwu,ATL,2024-25,13.4,8.9,2.3,0.9
Patty Mills,ATL,2023-24,2.7,1.1,0.7,0.5
Saddiq Bey,ATL,2022-23,11.6,4.8,1.4,0.8
Saddiq Bey,ATL,2023-24,13.7,6.5,1.5,0.8
Seth Lundy,ATL,2023-24,1.6,0.8,0.0,0.0
Team Totals,ATL,2022-23,118.4,44.4,25.0,7.1
Team Totals,ATL,2023-24,118.3,44.7,26.6,7.5
Team Totals,ATL,2024-25,118.2,44.5,29.6,9.7
Terance Mann,ATL,2024-25,9.8,3.1,2.1,0.6
Trae Young,ATL,2022-23,26.2,3.0,10.2,1.1
Trae Young,ATL,2023-24,25.7,2.8,10.8,1.3
Trae Young,ATL,2024-25,24.2,3.1,11.6,1.2
Trent Forrest,ATL,2022-23,2.3,1.6,1.7,0.3
Trent Forrest,ATL,2023-24,2.2,1.3,2.4,0.3
Tyrese Martin,ATL,2022-23,1.3,0.8,0.1,0.1
Vít Krejčí,ATL,2022-23,1.2,0.9,0.6,0.2
Vít Krejčí,ATL,2023-24,6.1,2.4,2.3,0.6
Vít Krejčí,ATL,2024-25,7.2,2.7,2.6,0.6
Wesley Matthews,ATL,2023-24,3.1,1.5,0.6,0.4
Zaccharie Risacher,ATL,2024-25,12.6,3.6,1.2,0.7
Al Horford,BOS,2022-23,9.8,6.2,3.0,0.5
Al Horford,BOS,2023-24,8.6,6.4,2.6,0.6
Al Horford,BOS,2024-25,9.0,6.2,2.1,0.6
Baylor Scheierman,BOS,2024-25,3.6,2.1,1.1,0.5
Blake Griffin,BOS,2022-23,4.1,3.8,1.5,0.3
Dalano Banton,BOS,2023-24,2.3,1.5,0.8,0.2
Derrick White,BOS,2022-23,12.4,3.6,3.9,0.7
Derrick White,BOS,2023-24,15.2,4.2,5.2,1.0
Derrick White,BOS,2024-25,16.4,4.5,4.8,0.9
Drew Peterson,BOS,2023-24,3.7,0.3,0.3,0.7
Drew Peterson,BOS,2024-25,2.2,1.6,0.5,0.2
Grant Williams,BOS,2022-23,8.1,4.6,1.7,0.5
JD Davison,BOS,2022-23,1.6,0.8,0.9,0.2
JD Davison,BOS,2023-24,2.0,1.3,1.3,0.1
JD Davison,BOS,2024-25,2.1,0.8,0.8,0.3
Jaden Springer,BOS,2023-24,2.1,1.2,0.5,0.6
Jaden Springer,BOS,2024-25,1.7,0.9,0.4,0.5
Jaylen Brown,BOS,2022-23,26.6,6.9,3.5,1.1
Jaylen Brown,BOS,2023-24,23.0,5.5,3.6,1.2
Jaylen Brown,BOS,2024-25,22.2,5.8,4.5,1.2
Jayson Tatum,BOS,2022-23,30.1,8.8,4.6,1.1
Jayson Tatum,BOS,2023-24,26.9,8.1,4.9,1.0
Jayson Tatum,BOS,2024-25,26.8,8.7,6.0,1.1
Jordan Walsh,BOS,2023-24,1.7,2.2,0.6,0.6
Jordan Walsh,BOS,2024-25,1.6,1.3,0.4,0.2
Jrue Holiday,BOS,2023-24,12.5,5.4,4.8,0.9
Jrue Holiday,BOS,2024-25,11.1,4.3,3.9,1.1
Justin Champagnie,BOS,2022-23,2.5,2.0,1.5,0.5
Justin Jackson,BOS,2022-23,0.9,0.7,0.4,0.2
Kristaps Porziņģis,BOS,2023-24,20.1,7.2,2.0,0.7
Kristaps Porziņģis,BOS,2024-25,19.5,6.8,2.1,0.7
Lamar Stevens,BOS,2023-24,2.8,1.6,0.4,0.3
Luke Kornet,BOS,2022-23,3.8,2.9,0.8,0.2
Luke Kornet,BOS,2023-24,5.3,4.1,1.1,0.4
Luke Kornet,BOS,2024-25,6.0,5.3,1.6,0.5
Malcolm Brogdon,BOS,2022-23,14.9,4.2,3.7,0.7
Marcus Smart,BOS,2022-23,11.5,3.1,6.3,1.5
Mfiondu Kabengele,BOS,2022-23,1.5,2.5,0.0,0.5
Mike Muscala,BOS,2022-23,5.9,3.4,0.6,0.2
Miles Norris,BOS,2024-25,2.3,3.0,0.0,0.7
Neemias Queta,BOS,2023-24,5.5,4.4,0.7,0.5
Neemias Queta,BOS,2024-25,5.0,3.8,0.7,0.3
Noah Vonleh,BOS,2022-23,1.1,2.1,0.3,0.1
Oshae Brissett,BOS,2023-24,3.7,2.9,0.8,0.3
Payton Pritchard,BOS,2022-23,5.6,1.8,1.3,0.3
Payton Pritchard,BOS,2023-24,9.6,3.2,3.4,0.5
Payton Pritchard,BOS,2024-25,14.3,3.8,3.5,0.9
Robert Williams,BOS,2022-23,8.0,8.3,1.4,0.6
Sam Hauser,BOS,2022-23,6.4,2.6,0.9,0.4
Sam Hauser,BOS,2023-24,9.0,3.5,1.0,0.5
Sam Hauser,BOS,2024-25,8.5,3.2,0.9,0.6
Svi Mykhailiuk,BOS,2023-24,4.0,1.2,0.9,0.3
Team Totals,BOS,2022-23,117.9,45.3,26.7,6.4
