Team,Season,MWDT,MWDT2,WinPct_OLD,AvgAge,NetRating,Payroll,Continuity,Payroll_raw,WinPct_REAL
Atlanta Hawks,2023,285.5395683453237,81532.84509083381,0.65,26.4,0.29,"$149,836,313",0.65,149836313.0,0.5
Atlanta Hawks,2024,256.4516129032258,65767.42976066597,0.95,25.8,-2.09,"$159,153,393",0.95,159153393.0,0.439
Atlanta Hawks,2025,233.7869822485207,54656.35306887014,0.58,25.0,-1.13,"$170,057,021",0.58,170057021.0,0.488
Boston Celtics,2023,314.8031496062992,99101.023002046,0.85,26.2,6.7,"$178,633,307",0.85,178633307.0,0.695
Boston Celtics,2024,259.0196078431372,67091.1572472126,0.69,27.4,11.71,"$186,940,921",0.69,186940921.0,0.78
Boston Celtics,2025,281.2765957446808,79116.5233137166,0.97,27.0,9.51,"$195,348,491",0.97,195348491.0,0.744
Brooklyn Nets,2023,186.8811881188119,34924.57847269875,0.78,25.4,1.0,"$159,566,723",0.52,159566723.0,0.549
Brooklyn Nets,2024,248.0254777070064,61516.63759178871,0.45,24.8,-2.99,"$155,015,136",0.73,155015136.0,0.39
Brooklyn Nets,2025,213.8857142857143,45747.0987755102,0.56,27.6,-7.21,"$168,312,896",0.69,168312896.0,0.317
Charlotte Hornets,2023,275.2083333333333,75739.6267361111,0.87,25.4,-6.28,"$125,874,047",0.78,125874047.0,0.329
Charlotte Hornets,2024,189.4711538461538,35899.3181397929,0.86,26.0,-10.63,"$140,774,484",0.45,140774484.0,0.256
Charlotte Hornets,2025,136.84,18725.1856,0.59,24.7,-9.28,"$168,575,524",0.56,168575524.0,0.232
Chicago Bulls,2023,331.25,109726.5625,0.82,26.4,1.36,"$151,964,990",0.87,151964990.0,0.488
Chicago Bulls,2024,308.6821705426357,95284.68241091282,0.7,25.5,-1.64,"$165,630,436",0.86,165630436.0,0.476
Chicago Bulls,2025,203.3155080213904,41337.19580199605,0.92,27.0,-1.49,"$165,722,496",0.59,165722496.0,0.476
Cleveland Cavaliers,2023,328.5123966942149,107920.3947817772,0.77,26.4,5.62,"$151,966,241",0.82,151966241.0,0.622
Cleveland Cavaliers,2024,319.3548387096774,101987.5130072841,0.58,26.4,2.41,"$166,874,287",0.7,166874287.0,0.585
Cleveland Cavaliers,2025,241.5337423312884,58338.5486845572,0.51,27.4,9.54,"$165,110,486",0.92,165110486.0,0.78
Los Angeles Clippers,2023,239.0243902439024,57132.65913146937,0.41,29.4,0.51,"$192,905,421",0.75,192905421.0,0.537
Los Angeles Clippers,2024,262.7333333333333,69028.80444444445,0.69,27.8,3.24,"$201,366,679",0.78,201366679.0,0.622
Los Angeles Clippers,2025,210.1063829787234,44144.692168402,0.71,28.5,4.77,"$174,124,752",0.67,174124752.0,0.61
Dallas Mavericks,2023,201.0824742268041,40434.16144117335,0.51,26.3,0.06,"$177,244,238",0.77,177244238.0,0.463
Dallas Mavericks,2024,232.9090909090909,54246.64462809917,0.9,27.2,2.09,"$167,755,884",0.58,167755884.0,0.61
Dallas Mavericks,2025,168.133971291866,28269.03230237403,0.86,28.4,-1.15,"$174,411,922",0.51,174411922.0,0.476
Denver Nuggets,2023,282.3571428571428,79725.55612244896,0.53,26.8,3.34,"$162,338,665",0.51,162338665.0,0.646
Denver Nuggets,2024,319.6747967479675,102191.9756758543,0.69,26.6,5.44,"$180,922,992",0.9,180922992.0,0.695
Denver Nuggets,2025,318.16,101225.7856,0.51,27.1,3.77,"$185,864,258",0.86,185864258.0,0.61
Detroit Pistons,2023,227.3837209302326,51703.35654407788,0.73,26.3,-8.33,"$129,153,570",0.53,129153570.0,0.207
