"ShortName","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"Kuzma, Morris, Avdija, Beal, Porzingis","WAS",18,157,37,320,400,98,181,0.5414364640883977,49,113,0.4336283185840708,0.4375,57,98,98,138,9,0.5,0.5632183908045977,0.9387755102040817,0.3843537414965986,0.5219447098976109,0.5833333333333334,0.6141975308641975,22,15,0.08287292817679558,1,0.008849557522123894
"Kuzma, Morris, Avdija, Kispert, Porzingis","WAS",12,122,-12,254,269,74,129,0.5736434108527132,28,85,0.32941176470588235,0.32941176470588235,37,82,66,69,15,0.5540540540540541,0.5694444444444444,0.8214285714285714,0.397196261682243,0.5210107476635514,0.5420560747663551,0.5654008438818565,4,5,0.03875968992248062,0,0
"Kuzma, Morris, Gafford, Beal, Porzingis","WAS",13,119,8,245,294,90,155,0.5806451612903226,27,63,0.42857142857142855,0.42857142857142855,33,98,82,69,12,0.5444444444444444,0.6049382716049383,0.8518518518518519,0.2889908256880734,0.5241347926267281,0.5986238532110092,0.6314655172413793,18,16,0.1032258064516129,0,0
"Kuzma, Morris, Gafford, Kispert, Porzingis","WAS",9,75,52,156,221,65,102,0.6372549019607843,21,40,0.525,0.525,28,72,58,45,18,0.5538461538461539,0.6206896551724138,0.7142857142857143,0.28169014084507044,0.5157471830985915,0.6795774647887324,0.7171052631578947,14,5,0.049019607843137254,1,0.025
"Kuzma, Avdija, Kispert, Goodwin, Porzingis","WAS",10,74,-13,147,179,48,79,0.6075949367088608,18,49,0.3673469387755102,0.3673469387755102,29,54,42,48,6,0.5625,0.574468085106383,0.8888888888888888,0.3828125,0.501570703125,0.5859375,0.6258741258741258,2,6,0.0759493670886076,0,0
"Morris, Avdija, Kispert, Beal, Porzingis","WAS",16,73,3,152,185,51,88,0.5795454545454546,18,46,0.391304347826087,0.391304347826087,29,62,40,51,3,0.6078431372549019,0.6458333333333334,0.9444444444444444,0.34328358208955223,0.5224727611940297,0.582089552238806,0.6216216216216216,6,9,0.10227272727272728,0,0
"Kuzma, Morris, Gill, Beal, Porzingis","WAS",5,59,0,115,154,40,64,0.625,17,44,0.38636363636363635,0.38636363636363635,23,44,36,45,6,0.55,0.5945945945945946,0.8823529411764706,0.4074074074074074,0.5209611111111111,0.6064814814814815,0.652542372881356,6,2,0.03125,0,0
"Morris, Gafford, Kispert, Beal, Porzingis","WAS",9,56,2,112,141,48,68,0.7058823529411765,7,25,0.28,0.28,24,54,42,18,3,0.5625,0.6,0.8571428571428571,0.26881720430107525,0.5003532258064517,0.6290322580645161,0.6682692307692307,6,1,0.014705882352941176,0,0
"Kuzma, Morris, Kispert, Beal, Porzingis","WAS",13,52,-14,112,128,29,60,0.48333333333333334,19,42,0.4523809523809524,0.4523809523809524,13,30,28,51,6,0.5172413793103449,0.6,0.8947368421052632,0.4117647058823529,0.5264089108910891,0.5637254901960784,0.5871559633027523,8,8,0.13333333333333333,0,0
"Wright, Kuzma, Gafford, Beal, Porzingis","WAS",4,52,8,103,132,34,55,0.6181818181818182,18,27,0.6666666666666666,0.6666666666666666,10,44,24,51,3,0.6470588235294118,0.6666666666666666,0.9444444444444444,0.32926829268292684,0.5037487804878049,0.7439024390243902,0.7586206896551724,2,5,0.09090909090909091,0,0
"Wright, Avdija, Kispert, Beal, Porzingis","WAS",15,52,9,101,125,28,52,0.5384615384615384,16,40,0.4,0.4,21,38,18,45,3,0.6785714285714286,0.76,0.9375,0.43478260869565216,0.5163657608695652,0.5652173913043478,0.6138613861386139,6,5,0.09615384615384616,0,0
"Wright, Kuzma, Hachimura, Gafford, Avdija","WAS",9,51,15,111,134,34,63,0.5396825396825397,15,35,0.42857142857142855,0.45454545454545453,21,36,32,36,9,0.5294117647058824,0.6206896551724138,0.8,0.35714285714285715,0.526571875,0.576530612244898,0.6146788990825688,10,4,0.06349206349206349,1,0.02857142857142857
"Wright, Kuzma, Gafford, Avdija, Beal","WAS",6,46,-18,86,88,32,61,0.5245901639344263,3,23,0.13043478260869565,0.13043478260869565,15,26,38,9,0,0.40625,0.52,1,0.27380952380952384,0.5271458333333333,0.43452380952380953,0.4731182795698925,14,7,0.11475409836065574,0,0
"Kuzma, Avdija, Kispert, Beal, Porzingis","WAS",6,42,1,89,107,29,51,0.5686274509803921,13,33,0.3939393939393939,0.3939393939393939,10,32,26,36,3,0.5517241379310345,0.5714285714285714,0.9230769230769231,0.39285714285714285,0.5034875,0.5773809523809523,0.601123595505618,2,3,0.058823529411764705,0,0
"Morris, Gafford, Avdija, Kispert, Porzingis","WAS",8,40,-25,80,94,30,49,0.6122448979591837,8,25,0.32,0.32,10,34,26,24,0,0.5666666666666667,0.5862068965517241,1,0.33783783783783783,0.481870945945946,0.5675675675675675,0.5949367088607594,2,6,0.12244897959183673,0,0
"Kuzma, Morris, Gafford, Kispert, Beal","WAS",8,40,-2,80,109,32,54,0.5925925925925926,9,22,0.4090909090909091,0.38095238095238093,18,28,36,21,6,0.4375,0.5,0.7777777777777778,0.2894736842105263,0.521736,0.5986842105263158,0.6352941176470588,8,7,0.12962962962962962,0,0
